"statecode","statename","districtcode","district","ar_data","area"
"10","BIHAR","4","SITAMARHI","0.19","0.19"
"10","BIHAR","5","MADHUBANI","0.31","0.31"
"10","BIHAR","6","SUPAUL","0.22","0.22"
"10","BIHAR","7","ARARIA","0.25","0.25"
"10","BIHAR","8","KISHANGANJ","0.17","0.17"
"10","BIHAR","10","KATIHAR","0.27","0.27"
"10","BIHAR","11","MADHEPURA","0.17","0.17"
"10","BIHAR","12","SAHARSA","0.15","0.15"
"10","BIHAR","13","DARBHANGA","0.21","0.21"
"10","BIHAR","15","GOPALGANJ","0.18","0.18"
"10","BIHAR","16","SIWAN","0.20","0.20"
"10","BIHAR","17","SARAN","0.24","0.24"
"10","BIHAR","18","VAISHALI","0.18","0.18"
"10","BIHAR","20","BEGUSARAI","0.17","0.17"
"10","BIHAR","21","KHAGARIA","0.13","0.13"
"10","BIHAR","23","BANKA","0.28","0.28"
"10","BIHAR","25","LAKHISARAI","0.12","0.12"
"10","BIHAR","26","SHEIKHPURA","0.05","0.05"
"10","BIHAR","28","PATNA","0.29","0.29"
"10","BIHAR","29","BHOJPUR","0.21","0.21"
"10","BIHAR","31","KAIMUR (BHABUA)","0.30","0.30"
"10","BIHAR","32","ROHTAS","0.35","0.35"
"10","BIHAR","33","JEHANABAD","0.14","0.14"
"10","BIHAR","34","AURANGABAD","0.29","0.29"
"10","BIHAR","35","GAYA","0.44","0.44"
"10","BIHAR","36","NAWADA","0.22","0.22"
"10","BIHAR","37","JAMUI","0.27","0.27"
"11","SIKKIM","1","NORTH SIKKIM","0.39","0.39"
"11","SIKKIM","2","WEST SIKKIM","0.11","0.11"
"11","SIKKIM","3","SOUTH SIKKIM","0.07","0.07"
"11","SIKKIM","4","EAST SIKKIM","0.09","0.09"
"12","ARUNACHAL PRADESH","1","TAWANG","0.20","0.20"
"12","ARUNACHAL PRADESH","3","EAST KAMENG","0.37","0.37"
"12","ARUNACHAL PRADESH","5","LOWER SUBANSIRI","1.19","1.19"
"12","ARUNACHAL PRADESH","7","WEST SIANG","1.13","1.13"
"12","ARUNACHAL PRADESH","8","EAST SIANG","0.57","0.57"
"12","ARUNACHAL PRADESH","10","DIBANG VALLEY","1.21","1.21"
"12","ARUNACHAL PRADESH","11","LOHIT","0.95","0.95"
"13","NAGALAND","1","MON","0.17","0.17"
"13","NAGALAND","4","ZUNHEBOTO","0.11","0.11"
"13","NAGALAND","5","WOKHA","0.15","0.15"
"13","NAGALAND","7","KOHIMA","0.36","0.36"
"13","NAGALAND","8","PHEK","0.18","0.18"
"14","MANIPUR","2","TAMENGLONG","0.37","0.37"
"14","MANIPUR","3","CHURACHANDPUR","0.41","0.41"
"14","MANIPUR","5","THOUBAL","0.06","0.06"
"14","MANIPUR","7","IMPHAL EAST","0.08","0.08"
"14","MANIPUR","8","UKHRUL","0.40","0.40"
"15","MIZORAM","1","MAMIT","0.27","0.27"
"15","MIZORAM","2","KOLASIB","0.12","0.12"
"15","MIZORAM","3","AIZAWL","0.33","0.33"
"15","MIZORAM","6","LUNGLEI","0.40","0.40"
"15","MIZORAM","8","SAIHA","0.17","0.17"
"17","MEGHALAYA","1","WEST GARO HILLS","0.47","0.47"
"17","MEGHALAYA","4","WEST KHASI HILLS","0.47","0.47"
"17","MEGHALAYA","6","EAST KHASI HILLS","0.47","0.47"
"18","ASSAM","3","GOALPARA","0.25","0.25"
"18","ASSAM","5","BARPETA","0.29","0.29"
"18","ASSAM","8","DARRANG","0.32","0.32"
"18","ASSAM","10","NAGAON","0.50","0.50"
"18","ASSAM","11","SONITPUR","0.48","0.48"
"18","ASSAM","13","DHEMAJI","0.30","0.30"
"18","ASSAM","14","TINSUKIA","0.35","0.35"
"18","ASSAM","15","DIBRUGARH","0.31","0.31"
"18","ASSAM","16","SIBSAGAR","0.24","0.24"
"18","ASSAM","17","JORHAT","0.26","0.26"
"18","ASSAM","18","GOLAGHAT","0.32","0.32"
"18","ASSAM","20","NORTH CACHAR HILLS","0.44","0.44"
"18","ASSAM","23","HAILAKANDI","0.12","0.12"
"20","JHARKHAND","1","GARHWA","0.36","0.36"
"20","JHARKHAND","2","PALAMU","0.77","0.77"
"20","JHARKHAND","3","CHATRA","0.33","0.33"
"20","JHARKHAND","5","KODARMA","0.22","0.22"
"20","JHARKHAND","6","GIRIDIH","0.47","0.47"
"20","JHARKHAND","7","DEOGHAR","0.22","0.22"
"20","JHARKHAND","9","SAHIBGANJ","0.20","0.20"
"20","JHARKHAND","12","DHANBAD","0.14","0.14"
"20","JHARKHAND","13","BOKARO","0.27","0.27"
"20","JHARKHAND","14","RANCHI","0.67","0.67"
"20","JHARKHAND","15","LOHARDAGA","0.13","0.13"
"20","JHARKHAND","16","GUMLA","0.80","0.80"
"20","JHARKHAND","17","PASHCHIMI SINGHBHUM","0.87","0.87"
"20","JHARKHAND","18","PURBI SINGHBHUM","0.31","0.31"
"21","ORISSA","1","BARGARH","0.50","0.50"
"21","ORISSA","3","SAMBALPUR","0.59","0.59"
"21","ORISSA","5","SUNDARGARH","0.85","0.85"
"21","ORISSA","6","KENDUJHAR","0.72","0.72"
"21","ORISSA","7","MAYURBHANJ","0.91","0.91"
"21","ORISSA","8","BALESHWAR","0.34","0.34"
"21","ORISSA","10","KENDRAPARA","0.21","0.21"
"21","ORISSA","11","JAGATSINGHAPUR","0.15","0.15"
"21","ORISSA","12","CUTTACK","0.34","0.34"
"21","ORISSA","14","DHENKANAL","0.39","0.39"
"21","ORISSA","15","ANUGUL","0.55","0.55"
"21","ORISSA","16","NAYAGARH","0.34","0.34"
"21","ORISSA","17","KHORDHA","0.24","0.24"
"21","ORISSA","18","PURI","0.27","0.31"
"21","ORISSA","19","GANJAM","0.73","0.73"
"21","ORISSA","20","GAJAPATI","0.35","0.35"
"21","ORISSA","22","BAUDH","0.27","0.27"
"21","ORISSA","23","SONAPUR","0.20","0.20"
"21","ORISSA","24","BALANGIR","0.57","0.57"
"21","ORISSA","25","NUAPADA","0.33","0.33"
"21","ORISSA","26","KALAHANDI","0.68","0.68"
"21","ORISSA","27","RAYAGADA","0.63","0.63"
"21","ORISSA","29","KORAPUT","0.75","0.75"
"21","ORISSA","30","MALKANGIRI","0.50","0.50"
"22","CHHATTISGARH","1","KORIYA","0.59","0.59"
"22","CHHATTISGARH","2","SURGUJA","1.39","1.39"
"22","CHHATTISGARH","3","JASHPUR","0.51","0.51"
"22","CHHATTISGARH","5","KORBA","1.31","1.31"
"22","CHHATTISGARH","6","JANJGIR-CHAMPA","0.34","0.34"
"22","CHHATTISGARH","7","BILASPUR","0.11","0.11"
"22","CHHATTISGARH","8","KAWARDHA","0.37","0.37"
"22","CHHATTISGARH","9","RAJNANDGAON","0.70","0.70"
"22","CHHATTISGARH","10","DURG","0.75","0.75"
"22","CHHATTISGARH","12","MAHASAMUND","0.41","0.41"
"22","CHHATTISGARH","13","DHAMTARI","0.35","0.35"
"22","CHHATTISGARH","14","KANKER","0.45","0.45"
"22","CHHATTISGARH","15","BASTAR","1.45","1.45"
"23","MADHYA PRADESH","1","SHEOPUR","0.59","0.59"
"23","MADHYA PRADESH","2","MORENA","0.45","0.45"
"23","MADHYA PRADESH","3","BHIND","0.40","0.40"
"23","MADHYA PRADESH","4","GWALIOR","0.41","0.41"
"23","MADHYA PRADESH","5","DATIA","0.24","0.24"
"23","MADHYA PRADESH","6","SHIVPURI","0.92","0.92"
"23","MADHYA PRADESH","7","GUNA","0.98","0.98"
"23","MADHYA PRADESH","9","CHHATARPUR","0.77","0.77"
"23","MADHYA PRADESH","10","PANNA","0.63","0.63"
"23","MADHYA PRADESH","11","SAGAR","0.91","0.91"
"23","MADHYA PRADESH","12","DAMOH","0.65","0.65"
"23","MADHYA PRADESH","13","SATNA","0.67","0.67"
"23","MADHYA PRADESH","14","REWA","0.56","0.56"
"23","MADHYA PRADESH","15","UMARIA","0.33","0.33"
"23","MADHYA PRADESH","16","SHAHDOL","0.91","0.91"
"23","MADHYA PRADESH","17","SIDHI","0.94","0.94"
"23","MADHYA PRADESH","19","MANDSAUR","0.50","0.50"
"23","MADHYA PRADESH","20","RATLAM","0.43","0.43"
"23","MADHYA PRADESH","21","UJJAIN","0.54","0.54"
"23","MADHYA PRADESH","22","SHAJAPUR","0.56","0.56"
"23","MADHYA PRADESH","24","JHABUA","0.60","0.60"
"23","MADHYA PRADESH","25","DHAR","0.72","0.72"
"23","MADHYA PRADESH","26","INDORE","0.34","0.34"
"23","MADHYA PRADESH","27","WEST NIMAR","0.70","0.70"
"23","MADHYA PRADESH","28","BARWANI","0.47","0.47"
"23","MADHYA PRADESH","30","RAJGARH","0.54","0.54"
"23","MADHYA PRADESH","31","VIDISHA","0.65","0.65"
"23","MADHYA PRADESH","32","BHOPAL","0.24","0.24"
"23","MADHYA PRADESH","33","SEHORE","0.58","0.58"
"23","MADHYA PRADESH","34","RAISEN","0.75","0.75"
"23","MADHYA PRADESH","35","BETUL","0.88","0.88"
"23","MADHYA PRADESH","36","HARDA","0.29","0.29"
"23","MADHYA PRADESH","37","HOSHANGABAD","0.59","0.59"
"23","MADHYA PRADESH","38","KATNI","0.55","0.55"
"23","MADHYA PRADESH","40","NARSIMHAPUR","0.45","0.45"
"23","MADHYA PRADESH","41","DINDORI","0.36","0.36"
"23","MADHYA PRADESH","42","MANDLA","0.81","0.81"
"23","MADHYA PRADESH","43","CHHINDWARA","1.03","1.03"
"23","MADHYA PRADESH","45","BALAGHAT","0.81","0.81"
"24","GUJARAT","1","KACHCHH","3.16","3.80"
"24","GUJARAT","2","BANAS KANTHA","0.95","0.95"
"24","GUJARAT","3","PATAN","0.57","0.57"
"24","GUJARAT","5","SABAR KANTHA","0.66","0.66"
"24","GUJARAT","6","GANDHINAGAR","0.06","0.06"
"24","GUJARAT","7","AHMADABAD","0.76","0.76"
"24","GUJARAT","8","SURENDRANAGAR","0.92","0.92"
"24","GUJARAT","9","RAJKOT","0.98","0.98"
"24","GUJARAT","10","JAMNAGAR","0.65","0.92"
"24","GUJARAT","11","PORBANDAR","0.01","0.20"
"24","GUJARAT","12","JUNAGADH","0.33","0.72"
"24","GUJARAT","14","BHAVNAGAR","0.86","0.86"
"24","GUJARAT","15","ANAND","0.27","0.27"
"24","GUJARAT","16","KHEDA","0.35","0.35"
"24","GUJARAT","17","PANCH MAHALS","0.32","0.32"
"24","GUJARAT","18","DOHAD","0.46","0.46"
"24","GUJARAT","19","VADODARA","0.68","0.68"
"24","GUJARAT","20","NARMADA","0.13","0.13"
"24","GUJARAT","21","BHARUCH","0.56","0.57"
"24","GUJARAT","22","SURAT","0.50","0.65"
"24","GUJARAT","23","THE DANGS","0.15","0.15"
"24","GUJARAT","24","NAVSARI","0.12","0.19"
"24","GUJARAT","25","VALSAD","0.17","0.26"
"25","DAMAN & DIU","2","DAMAN","0.00","0.01"
"27","MAHARASHTRA","1","NANDURBAR","0.51","0.51"
"27","MAHARASHTRA","2","DHULE","0.62","0.62"
"27","MAHARASHTRA","3","JALGAON","1.02","1.02"
"27","MAHARASHTRA","4","BULDANA","0.84","0.84"
"27","MAHARASHTRA","5","AKOLA","0.47","0.47"
"27","MAHARASHTRA","6","WASHIM","0.45","0.45"
"27","MAHARASHTRA","7","AMRAVATI","1.06","1.06"
"27","MAHARASHTRA","9","NAGPUR","0.86","0.86"
"27","MAHARASHTRA","10","BHANDARA","0.39","0.39"
"27","MAHARASHTRA","11","GONDIYA","0.42","0.42"
"27","MAHARASHTRA","13","CHANDRAPUR","0.98","0.98"
"27","MAHARASHTRA","14","YAVATMAL","1.17","1.17"
"27","MAHARASHTRA","15","NANDED","0.91","0.91"
"27","MAHARASHTRA","16","HINGOLI","0.40","0.40"
"27","MAHARASHTRA","18","JALNA","0.67","0.67"
"27","MAHARASHTRA","19","AURANGABAD","0.87","0.87"
"27","MAHARASHTRA","20","NASHIK","1.34","1.34"
"27","MAHARASHTRA","21","THANE","0.55","0.82"
"27","MAHARASHTRA","22","MUMBAI (SUBURBAN)","0.00","0.04"
"27","MAHARASHTRA","23","MUMBAI","0.00","0.01"
"27","MAHARASHTRA","24","RAIGARH","0.29","0.61"
"27","MAHARASHTRA","25","PUNE","1.32","1.34"
"27","MAHARASHTRA","26","AHMADNAGAR","1.46","1.46"
"27","MAHARASHTRA","27","BID","0.95","0.95"
"27","MAHARASHTRA","28","LATUR","0.58","0.58"
"27","MAHARASHTRA","29","OSMANABAD","0.65","0.65"
"27","MAHARASHTRA","31","SATARA","0.89","0.89"
"27","MAHARASHTRA","32","RATNAGIRI","0.29","0.70"
"27","MAHARASHTRA","33","SINDHUDURG","0.07","0.43"
"27","MAHARASHTRA","34","KOLHAPUR","0.60","0.65"
"27","MAHARASHTRA","35","SANGLI","0.73","0.73"
"28","ANDHRA PRADESH","1","ADILABAD","1.38","1.38"
"28","ANDHRA PRADESH","2","NIZAMABAD","0.68","0.68"
"28","ANDHRA PRADESH","3","KARIMNAGAR","1.02","1.02"
"28","ANDHRA PRADESH","4","MEDAK","0.83","0.83"
"28","ANDHRA PRADESH","5","HYDERABAD","0.02","0.02"
"28","ANDHRA PRADESH","6","RANGAREDDI","0.64","0.64"
"28","ANDHRA PRADESH","7","MAHBUBNAGAR","1.56","1.56"
"28","ANDHRA PRADESH","8","NALGONDA","1.20","1.20"
"28","ANDHRA PRADESH","9","WARANGAL","1.09","1.09"
"28","ANDHRA PRADESH","10","KHAMMAM","1.37","1.37"
"28","ANDHRA PRADESH","11","SRIKAKULAM","0.50","0.54"
"28","ANDHRA PRADESH","12","VIZIANAGARAM","0.47","0.48"
"28","ANDHRA PRADESH","13","VISAKHAPATNAM","0.97","0.97"
"28","ANDHRA PRADESH","14","EAST GODAVARI","0.91","0.92"
"28","ANDHRA PRADESH","15","WEST GODAVARI","0.66","0.66"
"28","ANDHRA PRADESH","16","KRISHNA","0.71","0.72"
"28","ANDHRA PRADESH","17","GUNTUR","0.97","0.97"
"28","ANDHRA PRADESH","18","PRAKASAM","1.49","1.49"
"28","ANDHRA PRADESH","19","NELLORE","1.10","1.10"
"28","ANDHRA PRADESH","20","CUDDAPAH","1.27","1.27"
"28","ANDHRA PRADESH","21","KURNOOL","1.50","1.50"
"28","ANDHRA PRADESH","22","ANANTAPUR","1.61","1.61"
"28","ANDHRA PRADESH","23","CHITTOOR","1.27","1.27"
"29","KARNATAKA","1","BELGAUM","1.12","1.13"
"29","KARNATAKA","2","BAGALKOT","0.56","0.56"
"29","KARNATAKA","3","BIJAPUR","0.89","0.89"
"29","KARNATAKA","4","GULBARGA","1.38","1.38"
"29","KARNATAKA","5","BIDAR","0.46","0.46"
"29","KARNATAKA","6","RAICHUR","0.71","0.71"
"29","KARNATAKA","7","KOPPAL","0.47","0.47"
"29","KARNATAKA","8","GADAG","0.48","0.48"
"29","KARNATAKA","9","DHARWAD","0.32","0.32"
"29","KARNATAKA","10","UTTARA KANNADA","0.44","0.86"
"29","KARNATAKA","11","HAVERI","0.35","0.35"
"29","KARNATAKA","12","BELLARY","0.71","0.71"
"29","KARNATAKA","13","CHITRADURGA","0.71","0.71"
"29","KARNATAKA","14","DAVANAGERE","0.50","0.50"
"29","KARNATAKA","15","SHIMOGA","0.57","0.71"
"29","KARNATAKA","16","UDUPI","0.07","0.32"
"29","KARNATAKA","17","CHIKMAGALUR","0.60","0.60"
"29","KARNATAKA","18","TUMKUR","0.89","0.89"
"29","KARNATAKA","19","KOLAR","0.68","0.68"
"29","KARNATAKA","20","BANGALORE","0.31","0.31"
"29","KARNATAKA","21","BANGALORE RURAL","0.36","0.36"
"29","KARNATAKA","22","MANDYA","0.41","0.41"
"29","KARNATAKA","23","HASSAN","0.57","0.57"
"29","KARNATAKA","24","DAKSHINA KANNADA","0.12","0.38"
"29","KARNATAKA","25","KODAGU","0.31","0.34"
"29","KARNATAKA","26","MYSORE","0.52","0.52"
"29","KARNATAKA","27","CHAMARAJANAGAR","0.47","0.47"
"30","GOA","1","NORTH GOA","0.04","0.14"
"30","GOA","2","SOUTH GOA","0.00","0.16"
"31","LAKSHADWEEP","1","LAKSHADWEEP","0.00","0.04"
"32","KERALA","1","KASARAGOD","0.00","0.16"
"32","KERALA","2","KANNUR","0.04","0.24"
"32","KERALA","3","WAYANAD","0.13","0.18"
"32","KERALA","4","KOZHIKODE","0.03","0.19"
"32","KERALA","5","MALAPPURAM","0.18","0.29"
"32","KERALA","6","PALAKKAD","0.27","0.37"
"32","KERALA","7","THRISSUR","0.04","0.25"
"32","KERALA","8","ERNAKULAM","0.09","0.20"
"32","KERALA","9","IDUKKI","0.41","0.41"
"32","KERALA","10","KOTTAYAM","0.12","0.18"
"32","KERALA","11","ALAPPUZHA","0.00","0.12"
"32","KERALA","12","PATHANAMTHITTA","0.09","0.22"
"32","KERALA","13","KOLLAM","0.06","0.20"
"32","KERALA","14","THIRUVANANTHAPURAM","0.07","0.18"
"33","TAMIL NADU","1","THIRUVALLUR","0.24","0.24"
"33","TAMIL NADU","2","CHENNAI","0.01","0.01"
"33","TAMIL NADU","3","KANCHEEPURAM","0.41","0.41"
"33","TAMIL NADU","4","VELLORE","0.51","0.51"
"33","TAMIL NADU","5","DHARMAPURI","0.80","0.80"
"33","TAMIL NADU","6","TIRUVANNAMALAI","0.51","0.51"
"33","TAMIL NADU","7","VILUPPURAM","0.60","0.60"
"33","TAMIL NADU","8","SALEM","0.37","0.37"
"33","TAMIL NADU","9","NAMAKKAL","0.34","0.34"
